"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","AchtergrondWaarde","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100800131,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Mo","molybdeen","7439-98-7","ug/l","nf","OW","",0.5,"MAX","2002-11-02",NA,""
100800132,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Mo","molybdeen","7439-98-7","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800133,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Mo","molybdeen","7439-98-7","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800134,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","mzCl","metazachloor","67129-08-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800135,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","mzCl","metazachloor","67129-08-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800136,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","pirmcb","pirimicarb","23103-98-2","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800137,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","pirmcb","pirimicarb","23103-98-2","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800138,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","propxr","propoxur","114-26-1","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800139,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","pyrdbn","pyridaben","96489-71-3","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800140,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","pyrdbn","pyridaben","96489-71-3","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800141,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","pyrpxfn","pyriproxyfen","95737-68-1","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800142,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","pyrpxfn","pyriproxyfen","95737-68-1","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800143,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sb","antimoon","7440-36-0","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800144,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sb","antimoon","7440-36-0","ug/l","nf","OW","",0.3,"MAX","2002-11-02",NA,""
100800145,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sb","antimoon","7440-36-0","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800146,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sb","antimoon","7440-36-0","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800147,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Se","seleen","7782-49-2","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800148,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Se","seleen","7782-49-2","ug/l","nf","OW","",0.04,"MAX","2002-11-02",NA,""
100800149,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Se","seleen","7782-49-2","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800150,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Se","seleen","7782-49-2","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800151,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","",2e-04,"JGM","2002-11-02",NA,""
100800152,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800153,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800154,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","",2e-04,"MAX","2002-11-02",NA,""
100800155,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800156,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Sn","tin","7440-31-5","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800157,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","tefbzrn","teflubenzuron","83121-18-0","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800158,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","tefbzrn","teflubenzuron","83121-18-0","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800159,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","terC4yazne","terbutylazine","5915-41-3","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800160,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","terC4yazne","terbutylazine","5915-41-3","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800161,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Tl","thallium","7440-28-0","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800162,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Tl","thallium","7440-28-0","ug/l","nf","OW","",0.04,"MAX","2002-11-02",NA,""
100800163,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","tolcfsC1y","tolclofos-methyl","57018-04-9","ug/l","NVT","OW","",NA,"JGM","2002-11-02",NA,""
100800164,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","tolcfsC1y","tolclofos-methyl","57018-04-9","ug/l","NVT","OW","",NA,"MAX","2002-11-02",NA,""
100800165,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","V","vanadium","7440-62-2","ug/l","nf","OW","",0.8,"JGM","2002-11-02",NA,""
100800166,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","V","vanadium","7440-62-2","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800167,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","V","vanadium","7440-62-2","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800168,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,""
100800169,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","",NA,"JGM","2002-11-02",NA,"BLM"
100800170,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","M30",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800171,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","M31",NA,"JGM","2002-11-02",NA,"AC-SALNTT"
100800172,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","",1,"MAX","2002-11-02",NA,""
100800173,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","M30",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800174,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","CONCTTE","(massa)Concentratie","Zn","zink","7440-66-6","ug/l","nf","OW","M31",NA,"MAX","2002-11-02",NA,"AC-SALNTT"
100800175,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","MASSFTE","Massafractie","BaA","benzo(a)antraceen","56-55-3","ug/kg","NVT","OE","",NA,"JGM","2002-11-02",NA,"BiotaSchelpd"
100800176,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","MASSFTE","Massafractie","Chr","chryseen","218-01-9","ug/kg","NVT","OE","",NA,"JGM","2002-11-02",NA,"BiotaSchelpd"
100800177,"KRW spec. verontr. stoffen SGBP 2022-2027 - zoet","MASSFTE","Massafractie","OcC1yccT4slx","octamethylcyclotetrasiloxaan","556-67-2","ug/kg","NVT","OE","",NA,"JGM","2002-11-02",NA,"BiotaVis"
